4.2138e-13,1.3893
2e-08,2.8721
4e-08,2.1502
6e-08,2.1112
8.0001e-08,2.1502
1e-07,2.8721
1.2e-07,2.0331
1.4e-07,3.5159
1.6e-07,1.7987
1.8e-07,2.4816
2e-07,2.3644
2.2e-07,1.5253
2.4e-07,1.4863
2.6e-07,2.1691
2.8e-07,1.3691
3e-07,2.13
3.2e-07,0.53005
3.4e-07,2.9691
3.6e-07,1.5253
3.8e-07,2.4425
4e-07,3.4378
4.2e-07,2.794
4.4e-07,2.9112
4.6e-07,2.8331
4.8e-07,2.1502
5e-07,2.1502
5.2e-07,2.1502
5.4e-07,1.3502
5.6e-07,0.55025
5.8e-07,2.0721
6e-07,2.0721
6.2e-07,2.8721
6.4e-07,2.8721
6.6e-07,2.0721
6.8e-07,1.3112
7e-07,2.0721
7.2e-07,2.8331
7.4e-07,2.0721
7.6e-07,2.8331
7.8e-07,2.0721
8e-07,2.8331
8.2e-07,2.0721
8.4e-07,2.8331
8.6e-07,2.0721
8.8e-07,1.2721
9e-07,2.8331
9.2e-07,2.0331
9.4e-07,2.8331
9.6e-07,2.0331
9.8e-07,2.0331
1e-06,2.0331
1.02e-06,2.0331
1.04e-06,2.794
1.06e-06,2.0331
1.08e-06,2.794
1.1e-06,2.0331
1.12e-06,1.994
1.14e-06,2.0331
1.16e-06,2.0331
1.18e-06,2.794
1.2e-06,2.794
1.22e-06,1.994
1.24e-06,2.794
1.26e-06,1.994
1.28e-06,1.2331
1.3e-06,1.994
1.32e-06,1.994
1.34e-06,2.794
1.36e-06,1.994
1.38e-06,1.994
1.4e-06,1.994
1.42e-06,1.994
1.44e-06,1.994
1.46e-06,1.994
1.48e-06,1.994
1.5e-06,1.994
1.52e-06,1.994
1.54e-06,1.994
1.56e-06,1.994
1.58e-06,1.994
1.6e-06,1.994
1.62e-06,1.994
1.64e-06,1.994
1.66e-06,1.994
1.68e-06,1.994
1.7e-06,1.955
1.72e-06,1.994
1.74e-06,1.955
1.76e-06,1.955
1.78e-06,1.955
1.8e-06,1.994
1.82e-06,2.755
1.84e-06,1.994
1.86e-06,1.194
1.88e-06,2.755
1.9e-06,1.194
1.92e-06,1.194
1.94e-06,2.755
1.96e-06,1.194
1.98e-06,1.194
2e-06,2.755
2.02e-06,1.955
2.04e-06,0.39402
2.06e-06,2.755
2.08e-06,1.955
2.1e-06,1.155
2.12e-06,1.955
2.14e-06,1.955
2.16e-06,2.7159
2.18e-06,1.955
2.2e-06,2.7159
2.22e-06,2.7159
2.24e-06,2.7159
2.26e-06,2.7159
2.28e-06,1.955
2.3e-06,1.955
2.32e-06,3.4768
2.34e-06,1.955
2.36e-06,2.7159
2.38e-06,1.9159
2.4e-06,1.955
2.42e-06,1.9159
2.44e-06,1.9159
2.46e-06,1.9159
2.48e-06,1.9159
2.5e-06,1.9159
2.52e-06,2.7159
2.54e-06,1.9159
2.56e-06,1.9159
2.58e-06,3.4768
2.6e-06,1.9159
2.62e-06,2.6768
2.64e-06,1.155
2.66e-06,2.6768
2.68e-06,1.9159
2.7e-06,1.9159
2.72e-06,1.9159
