field_loss,acoustic_loss,temperature_loss,smoothness_loss,physics_residual_loss,epoch,training_mode,mean_epoch_loss,total_loss
0.0,305.0492176256682,156595.9144736842,0.0254967790587168,0.020415390486289795,1.0,residual_pinn,15720.604851973685,15720.604851973685
0.0,544.2790298712881,114084.09066611843,0.10901537772856261,0.09117453113982552,2.0,residual_pinn,11517.279553865132,11517.279553865132
0.0,2267.158073475486,7004.888190018503,0.09244381322672493,0.24270388523214742,3.0,residual_pinn,1153.949377762644,1153.949377762644
0.0,282.7501258787356,3163.231753700658,0.08692181424090736,0.23007047568496905,4.0,residual_pinn,372.9005640933388,372.9005640933388
0.0,22.640908821632987,3128.78859349301,0.08585788113506217,0.2050728405776777,5.0,residual_pinn,317.43184380782276,317.43184380782276
0.0,4.9324791870619125,3417.5296952097037,0.08585615926667263,0.19941727268068413,6.0,residual_pinn,342.7637152420847,342.7637152420847
0.0,0.886789924220035,3193.9172684518912,0.08568751066923141,0.19559946734654277,7.0,residual_pinn,319.5929356625206,319.5929356625206
0.0,1.1878277251594944,3222.046875,0.08553739401854966,0.19106946650304293,8.0,residual_pinn,322.46563961631375,322.46563961631375
0.0,0.7914262743372666,3171.757227847451,0.08547269043169524,0.19112343145044228,9.0,residual_pinn,317.3573961759868,317.3573961759868
0.0,0.6904816705929605,2980.2307450143912,0.08548379728668615,0.18790616879337713,10.0,residual_pinn,298.18423943770557,298.18423943770557
0.0,0.9734799140378049,3180.6028089021383,0.08552245207523045,0.1876884549856186,11.0,residual_pinn,318.27802397075453,318.27802397075453
0.0,1.1435386601247286,3091.1009200246713,0.0854450385821493,0.18706892352355153,12.0,residual_pinn,309.36178428248354,309.36178428248354
0.0,1.1819587679285752,3277.217349403783,0.08550075167103817,0.19379528023694692,13.0,residual_pinn,327.981789036801,327.981789036801
0.0,0.7340630104667262,3086.5296181126646,0.08555571264342259,0.20173015327830063,14.0,residual_pinn,308.8242324026007,308.8242324026007
0.0,0.5922991915753013,3118.6595137746713,0.08544729532379854,0.19844057685450503,15.0,residual_pinn,312.00853207236844,312.00853207236844
0.0,0.5925989723519275,3022.5099583675988,0.0858135937075866,0.1964791730830544,16.0,residual_pinn,302.3934607254831,302.3934607254831
0.0,0.6800080396627125,3100.3015907689146,0.08548207973179064,0.19341538219075455,17.0,residual_pinn,310.1897864090769,310.1897864090769
0.0,0.7383321868745905,3134.244757401316,0.08567587325447484,0.1926213502883911,18.0,residual_pinn,313.5956918816817,313.5956918816817
0.0,0.8829329249105955,3096.8284012643912,0.08568289758343446,0.1900707334280014,19.0,residual_pinn,309.8827237580952,309.8827237580952
0.0,1.451085250628622,3302.0738204152963,0.08586268950449794,0.18966495520190188,20.0,residual_pinn,330.52086117393094,330.52086117393094
0.0,1.2740518576220463,3351.345748098273,0.08610938607077849,0.19100288497774223,21.0,residual_pinn,335.4127992328845,335.4127992328845
0.0,1.6676599540208514,3403.838475277549,0.08591818378159874,0.19605616989888644,22.0,residual_pinn,340.7412872314453,340.7412872314453
0.0,1.0212870475492979,3320.4686921772204,0.08620832938896983,0.19465243737948568,23.0,residual_pinn,332.27491198087995,332.27491198087995
0.0,2.743684216549522,3414.2958213404604,0.08604185479251962,0.18940161011720957,24.0,residual_pinn,342.00156924599094,342.00156924599094
0.0,1.946919753363258,2982.62060546875,0.08600254356861115,0.1878312763414885,25.0,residual_pinn,298.67453083239104,298.67453083239104
0.0,0.7602334681310152,3074.4561960320725,0.08491910170567663,0.18846720221795535,26.0,residual_pinn,307.6207709061472,307.6207709061472
0.0,0.534112622863368,3042.1384791324012,0.082556971593907,0.18776405877188632,27.0,residual_pinn,304.3435821533203,304.3435821533203
0.0,0.6613792384925642,3159.1018451891446,0.08234208979104694,0.18796464957688985,28.0,residual_pinn,316.06537427400286,316.06537427400286
0.0,0.869643971323967,3060.3335346422696,0.08243281551097568,0.1910162113214794,29.0,residual_pinn,306.2305113139905,306.2305113139905
0.0,0.9744568765163422,3178.9012001439146,0.08236488346990786,0.18703319524463854,30.0,residual_pinn,318.10784671181125,318.10784671181125
0.0,0.7649268860879698,3075.3461143092104,0.08241424984053562,0.1868830974164762,31.0,residual_pinn,307.7104122764186,307.7104122764186
0.0,1.4565536960175163,3157.9907612047696,0.08237453903022565,0.185931259864255,32.0,residual_pinn,316.1131013569079,316.1131013569079
0.0,0.9346552075524079,3141.8750064247533,0.08239462736405824,0.18824102376636706,33.0,residual_pinn,314.39739106830797,314.39739106830797
0.0,1.64686823204944,3086.9483449835525,0.08220780170277546,0.18434444305143857,34.0,residual_pinn,309.0467593544408,309.0467593544408
0.0,1.1928560122063285,3351.263800370066,0.08213472797682411,0.18411511025930705,35.0,residual_pinn,335.387476067794,335.387476067794
0.0,1.9135886242515163,3118.3137078536183,0.0820956657591619,0.18153823912143707,36.0,residual_pinn,312.23634739925984,312.23634739925984
0.0,0.8759828884350626,2994.366763466283,0.08211218526488856,0.17875287877885918,37.0,residual_pinn,299.6338597347862,299.6338597347862
0.0,1.0740436621402438,3032.3201583059213,0.08229075333005503,0.18000995563833336,38.0,residual_pinn,303.468949167352,303.468949167352
0.0,1.8077618487571414,3270.5350791529604,0.08219657289354425,0.17894559628085085,39.0,residual_pinn,327.43706873843547,327.43706873843547
0.0,0.891928073606993,3007.045557925576,0.08215320894592687,0.17860697366689382,40.0,residual_pinn,300.9049112420333,300.9049112420333
0.0,0.5977989121487266,3045.488641036184,0.08217902050206535,0.178628240761004,41.0,residual_pinn,304.6903959575452,304.6903959575452
0.0,0.8862409136797252,2982.3693140933387,0.08220516890287399,0.17911277789818614,42.0,residual_pinn,298.43620942768297,298.43620942768297
0.0,1.867557654255315,3166.8867251747533,0.08254529574983999,0.18879223262008868,43.0,residual_pinn,317.0852010626542,317.0852010626542
0.0,1.2191168783526671,2968.8953857421875,0.08231190670477717,0.19064963334485105,44.0,residual_pinn,297.15654875102797,297.15654875102797
0.0,0.8658866913695085,3018.3751413445725,0.08210311712403047,0.1883489677780553,45.0,residual_pinn,302.03363920512953,302.03363920512953
0.0,1.501051403974232,3099.2217375102796,0.08194966888741444,0.18367361865545573,46.0,residual_pinn,310.2448497571443,310.2448497571443
0.0,1.731306631314127,3123.2397075452304,0.08183281711841885,0.18162295143855245,47.0,residual_pinn,312.6924880178351,312.6924880178351
0.0,0.7453484190137762,3022.552625154194,0.08185823183310659,0.18223957874273,48.0,residual_pinn,302.42665180407073,302.42665180407073
0.0,0.8173970580101013,3018.8329564144738,0.0818369216040561,0.1812860008917357,49.0,residual_pinn,302.0690034565173,302.0690034565173
0.0,1.6277158777964742,3163.0967310855262,0.08186420602233786,0.18179810204003988,50.0,residual_pinn,316.6575020237973,316.6575020237973
0.0,2.2342449803101387,3064.4480879934213,0.08191843879850287,0.18252653981509961,51.0,residual_pinn,306.9140111019737,306.9140111019737
0.0,0.8151537940690392,3013.0369359066613,0.08185446497641112,0.18185884152588092,52.0,residual_pinn,301.4890032316509,301.4890032316509
0.0,0.6791816667506569,2981.626085783306,0.08205081757746245,0.18121983503040515,53.0,residual_pinn,298.32067790784333,298.32067790784333
0.0,1.5219476489644301,3038.4712620785363,0.08206892405685626,0.1816457384511044,54.0,residual_pinn,304.1737863641036,304.1737863641036
0.0,2.361105122064289,3155.597855417352,0.08200858690236744,0.1860614050375788,55.0,residual_pinn,316.0547276547081,316.0547276547081
0.0,3.353861678587763,3063.6169305098683,0.0813466506569009,0.18291217716116653,56.0,residual_pinn,307.0548352693257,307.0548352693257
0.0,1.3662667321531397,2965.2009020353617,0.08124186529924995,0.1828764441766237,57.0,residual_pinn,296.81569149619656,296.81569149619656
0.0,0.7304893747756356,2989.6424881784537,0.08127720497156445,0.18357784653964795,58.0,residual_pinn,299.1327731483861,299.1327731483861
0.0,0.979717692262248,2998.214226973684,0.0812508142308185,0.18287342473080284,59.0,residual_pinn,300.03972505268297,300.03972505268297
0.0,0.828778409644177,3036.5587350945725,0.08121426521163237,0.18514640629291534,60.0,residual_pinn,303.84421057450146,303.84421057450146
0.0,0.7129007499468955,2973.063360916941,0.081159045821742,0.18456899178655525,61.0,residual_pinn,297.4714331375925,297.4714331375925
0.0,2.821945469630392,3189.936883223684,0.08121214022761897,0.18515360276950033,62.0,residual_pinn,319.5806635806435,319.5806635806435
0.0,1.70792403425041,3058.8551475123354,0.08106630060233568,0.1859150740661119,63.0,residual_pinn,306.2497534500925,306.2497534500925
0.0,0.9201985346643549,2978.215460526316,0.08102807167329286,0.18558600388075175,64.0,residual_pinn,298.02820547003495,298.02820547003495
0.0,1.8412784259570272,2986.3942614103617,0.08109452889153831,0.18565595306848226,65.0,residual_pinn,299.0303111829256,299.0303111829256
0.0,1.143728008395747,2994.2119654605262,0.08132833320843547,0.18654779697719373,66.0,residual_pinn,299.67266042608964,299.67266042608964
0.0,1.2200343922564858,2956.501201428865,0.08132678427194294,0.18872915757329842,67.0,residual_pinn,295.9170660721628,295.9170660721628
0.0,0.8244450641305823,2970.6712839226975,0.08100440274727971,0.18821741013150467,68.0,residual_pinn,297.25489566200656,297.25489566200656
0.0,0.935442041409643,2985.6076274671054,0.08104929484819111,0.1878980029570429,69.0,residual_pinn,298.77069734272203,298.77069734272203
0.0,0.7296061311897478,2989.9439183285363,0.08088293906889464,0.18828505669769488,70.0,residual_pinn,299.16318953664677,299.16318953664677
0.0,0.8964444383194572,3008.3484914679275,0.08082189803060733,0.18852413484924718,71.0,residual_pinn,301.0370330810547,301.0370330810547
0.0,0.9672428855770513,3008.829230057566,0.08071182001578181,0.18784475326538086,72.0,residual_pinn,301.09919658460115,301.09919658460115
0.0,1.7291765401237889,3087.8651572779604,0.08076978200360348,0.18894910184960617,73.0,residual_pinn,309.15529110557156,309.15529110557156
0.0,1.674462627423437,2972.986283151727,0.08071168590533107,0.1881918954221826,74.0,residual_pinn,297.6563841167249,297.6563841167249
0.0,1.4398315893976312,3081.139012386924,0.08070183623778193,0.18769887717146622,75.0,residual_pinn,308.4246745862459,308.4246745862459
0.0,4.490809506491611,3443.6677117598683,0.0808129271394328,0.18878784305170962,76.0,residual_pinn,345.2878586618524,345.2878586618524
0.0,5.438763091438695,3244.1748303865133,0.08078633758582567,0.1899007017675199,77.0,residual_pinn,325.52827052066203,325.52827052066203
0.0,2.203535201518159,2846.464695980674,0.08073626772353523,0.1883835682743474,78.0,residual_pinn,285.11006084241365,285.11006084241365
0.0,1.7731502173762572,2996.3771844161183,0.08068992511222237,0.18832548433228544,79.0,residual_pinn,300.01522024054276,300.01522024054276
0.0,2.4751913139694617,3322.2335654810854,0.08070877390472513,0.19033712227093547,80.0,residual_pinn,332.7414663214433,332.7414663214433
0.0,10.57234821821514,3242.7575940583883,0.0807535303266425,0.1965241126324001,81.0,residual_pinn,326.4139323987459,326.4139323987459
0.0,2.8168176945887113,2975.34324244449,0.08068938867041939,0.1944422008175599,82.0,residual_pinn,298.12116964239823,298.12116964239823
0.0,1.7292496781600148,2915.59666041324,0.08068838166563135,0.19320333003997803,83.0,residual_pinn,291.928875571803,291.928875571803
0.0,2.0682571546027533,2953.5347257915296,0.08071112083761316,0.19352935568282478,84.0,residual_pinn,295.79052011590255,295.79052011590255
0.0,1.6721819200013812,3024.3644312808387,0.08068362466598812,0.1922310504474138,85.0,residual_pinn,302.79414287366365,302.79414287366365
0.0,1.8531177467421482,2958.1366288034537,0.08064161201840953,0.19134988361283353,86.0,residual_pinn,296.2074568899054,296.2074568899054
0.0,1.6095172700129057,2978.430464895148,0.0806706085016853,0.19153065038354775,87.0,residual_pinn,298.18814247532896,298.18814247532896
0.0,1.333993994875958,2953.3627415707238,0.08068597708877764,0.19141076348329844,88.0,residual_pinn,295.6262439928557,295.6262439928557
0.0,2.623644331568166,3068.5284616570725,0.08066859723705995,0.1921195670178062,89.0,residual_pinn,307.4008226896587,307.4008226896587
0.0,1.8900790716472424,2934.4020610608554,0.08064473655663039,0.1914448181265279,90.0,residual_pinn,293.84139854029604,293.84139854029604
0.0,0.7668902560284263,2948.5329846833883,0.08063940860723194,0.19182983276091123,91.0,residual_pinn,295.0298991956209,295.0298991956209
0.0,1.0469976616533179,2913.6894659745067,0.08065670963964965,0.19263985909913717,92.0,residual_pinn,291.60164923416943,291.60164923416943
0.0,0.7030228878322401,2876.8376079358554,0.080680713057518,0.19244212225863808,93.0,residual_pinn,287.84764661287005,287.84764661287005
0.0,0.5194201563533983,2894.085674085115,0.08070726339754306,0.19248651830773605,94.0,residual_pinn,289.5357417056435,289.5357417056435
0.0,1.2322349313058352,2974.913863332648,0.08062739434995149,0.19227123809488197,95.0,residual_pinn,297.7610963520251,297.7610963520251
0.0,1.6745641341334896,3041.608334189967,0.08070067433934462,0.19254112322079509,96.0,residual_pinn,304.5190365439967,304.5190365439967
0.0,1.3853455672138615,2906.1172388980262,0.08071990938563096,0.19220411228506187,97.0,residual_pinn,290.91205074912625,290.91205074912625
0.0,4.186466317427786,3227.340235659951,0.08070892997478184,0.19288484203188042,98.0,residual_pinn,323.5946422376131,323.5946422376131
0.0,9.48258422393548,3255.8801398026317,0.08065345138311386,0.19398282233037448,99.0,residual_pinn,327.5079650878906,327.5079650878906
0.0,2.839436446365557,2995.1451223273025,0.08082170941327747,0.1952284778419294,100.0,residual_pinn,300.1059658652858,300.1059658652858
0.0,1.5626492735586668,3002.9208470394738,0.08068904045381044,0.1971733326974668,101.0,residual_pinn,300.628372995477,300.628372995477
0.0,1.6417122326399152,2823.4542557565787,0.08075169238604997,0.19645054246249952,102.0,residual_pinn,282.6974559583162,282.6974559583162
0.0,1.4603939495588605,2894.9324951171875,0.0807357489278442,0.19825052430755213,103.0,residual_pinn,289.80919446443255,289.80919446443255
0.0,2.006422968287217,3050.3716719777963,0.08065293886159595,0.19829057941311284,104.0,residual_pinn,305.4623196250514,305.4623196250514
0.0,1.6487919609797628,2899.4434300472863,0.08075993743382003,0.19669727275246068,105.0,residual_pinn,290.29781060469776,290.29781060469776
0.0,3.1147040348303947,2891.6852513363488,0.08067832769531953,0.1956039635758651,106.0,residual_pinn,289.8150674920333,289.8150674920333
0.0,2.8057123453993547,2890.458560341283,0.08065405174305565,0.19553131414087196,107.0,residual_pinn,289.63058873226765,289.63058873226765
0.0,6.202996009274533,3160.1887913754113,0.08065196048272283,0.19564060396269747,108.0,residual_pinn,317.28308426706417,317.28308426706417
0.0,4.976732385785956,2950.9021895559213,0.08066373553715254,0.1957947149088508,109.0,residual_pinn,296.10918386358964,296.10918386358964
0.0,0.9721289418245617,2877.9386821546054,0.08070837667113856,0.19589121796582876,110.0,residual_pinn,288.0119299637644,288.0119299637644
0.0,0.7143478722948777,2799.7435816714637,0.08072506205031746,0.19601522229219737,111.0,residual_pinn,280.1408755653783,280.1408755653783
0.0,0.8629968440846393,2815.8129497327304,0.08079283919773604,0.19611232688552455,112.0,residual_pinn,281.7775573730469,281.7775573730469
0.0,0.5532111956884986,2773.4820042660363,0.08073127740307857,0.1957286768837979,113.0,residual_pinn,277.4824552034077,277.4824552034077
0.0,1.077494302862569,2818.330142372533,0.08074313637457396,0.195875620371417,114.0,residual_pinn,282.07214275159333,282.07214275159333
0.0,0.7570639346775255,2771.9348273026317,0.07898281200935967,0.19007475438870883,115.0,residual_pinn,277.36785326505964,277.36785326505964
0.0,0.6915140183348405,2813.6270045230262,0.07895638087862417,0.189398561653338,116.0,residual_pinn,281.52389927914265,281.52389927914265
0.0,0.9137916251232749,2758.4958110608554,0.07893969549944527,0.18961240194345774,117.0,residual_pinn,276.05525087055406,276.05525087055406
0.0,0.8926003857662803,2764.0904027035363,0.07902217107383828,0.19421457930615074,118.0,residual_pinn,276.61093460886104,276.61093460886104
0.0,0.7642902159377148,2730.0279862253287,0.07923770068507445,0.20452880153530523,119.0,residual_pinn,273.1800745913857,273.1800745913857
0.0,0.8848528752201482,2731.5244911595396,0.0789747771463896,0.2018808675439734,120.0,residual_pinn,273.3535581889905,273.3535581889905
0.0,1.450157642364502,2765.7787828947367,0.07896484669886138,0.20180888238706088,121.0,residual_pinn,276.892044870477,276.892044870477
0.0,0.7239095780410265,2685.215107164885,0.07892179567562907,0.2011845849062267,122.0,residual_pinn,268.69035379510177,268.69035379510177
0.0,0.8040593046891061,2753.9044703433387,0.07888626189608323,0.20066091888829282,123.0,residual_pinn,275.57527321263365,275.57527321263365
0.0,1.0107943070562262,2738.1203998766446,0.07885677838011791,0.20117452426960594,124.0,residual_pinn,274.03826342130964,274.03826342130964
0.0,0.7096817493438721,2757.9458072060033,0.07884244071809869,0.20223427367837807,125.0,residual_pinn,275.96068854081005,275.96068854081005
0.0,0.5418616431324106,2675.2534500925162,0.07907887626635401,0.20145099649303838,126.0,residual_pinn,267.6578200490851,267.6578200490851
0.0,0.6993518471717834,2725.0237844366775,0.07890581182743374,0.20277618263897143,127.0,residual_pinn,272.6664749948602,272.6664749948602
0.0,0.6641952724833238,2632.6285914370887,0.07893222021429162,0.20117399018061788,128.0,residual_pinn,263.41976366545026,263.41976366545026
0.0,0.8107482477238304,2635.5455643503287,0.07891098292250383,0.20114641440542122,129.0,residual_pinn,263.740767629523,263.740767629523
0.0,1.095484954746146,2712.3853952508225,0.07894163461107957,0.20275073302419563,130.0,residual_pinn,271.48186171682255,271.48186171682255
0.0,0.7852748867712522,2513.284134714227,0.07888186095576537,0.2035328910539025,131.0,residual_pinn,251.5097696404708,251.5097696404708
0.0,2.499024750370728,2759.384881270559,0.07882523301400636,0.20970165886377035,132.0,residual_pinn,276.46321065802323,276.46321065802323
0.0,4.344927163500535,2597.5832455283717,0.07888528273293846,0.21023694308180557,133.0,residual_pinn,260.65227869937297,260.65227869937297
0.0,2.2602268582896183,2488.2217824835525,0.0788526727180732,0.20985410636977145,134.0,residual_pinn,249.2991549843236,249.2991549843236
0.0,1.7242717586065595,2421.8269107216283,0.0788777882331296,0.2099877517474325,135.0,residual_pinn,242.55249103746917,242.55249103746917
0.0,1.137213371301952,2343.4449912623354,0.07885608312330748,0.20966465849625437,136.0,residual_pinn,234.5968555651213,234.5968555651213
0.0,0.819913135547387,2323.706427323191,0.07887657888625797,0.2100645695862017,137.0,residual_pinn,232.55957191868833,232.55957191868833
0.0,2.2922002296698722,2327.2068385074012,0.07880693870155435,0.21025080273025915,138.0,residual_pinn,233.2040931300113,233.2040931300113
0.0,3.1895200923869482,2131.4087620785363,0.0788392499089241,0.20997281450974314,139.0,residual_pinn,213.8037253931949,213.8037253931949
0.0,2.0143057986309656,1879.3355841385692,0.0788873708561847,0.2117105157751786,140.0,residual_pinn,188.36153974031149,188.36153974031149
0.0,2.038840124481603,1839.057681435033,0.07891960089143954,0.21429895413549324,141.0,residual_pinn,184.33891818397925,184.33891818397925
0.0,4.438795958694659,1905.3098080283717,0.07893044305475135,0.214487855371676,142.0,residual_pinn,191.44414359644838,191.44414359644838
0.0,3.652783237005535,1857.1705290141858,0.07888124451825493,0.21421333363181666,143.0,residual_pinn,186.47298190468237,186.47298190468237
0.0,3.176141873786324,1801.9738833778783,0.07887644673648633,0.21497428495632975,144.0,residual_pinn,180.85805953176398,180.85805953176398
0.0,1.1989645299158598,1522.5685810289885,0.07892472806729768,0.2167805464644181,145.0,residual_pinn,152.5222780328048,152.5222780328048
0.0,1.6468253355277211,1626.716462787829,0.07891926639958431,0.21581675661237618,146.0,residual_pinn,163.02654025429175,163.02654025429175
0.0,1.1693364946465743,1563.2784937808387,0.07902094133590397,0.21625831958494687,147.0,residual_pinn,156.58729593377365,156.58729593377365
0.0,1.4299731317319369,1530.3012566817433,0.07886779543600585,0.21249163699777504,148.0,residual_pinn,153.3413106014854,153.3413106014854
0.0,2.611889494092841,1612.8617746453535,0.07881024911215431,0.2152643533129441,149.0,residual_pinn,161.834024128161,161.834024128161
0.0,2.326704784443504,1588.1302297491777,0.07891337338246797,0.21252958790252083,150.0,residual_pinn,159.30356678209807,159.30356678209807
0.0,1.3365081485949064,1586.217683490954,0.07895905210783608,0.20629971356768356,151.0,residual_pinn,158.91365011114823,158.91365011114823
0.0,3.0842461648740267,1803.8415784333881,0.0789025186708099,0.20344007485791257,152.0,residual_pinn,181.0253014815481,181.0253014815481
0.0,2.423847364751916,1517.2807842053865,0.07894629200822428,0.20158504420205167,153.0,residual_pinn,152.23695574308695,152.23695574308695
