"Header Size"           ,15              
"Model Name"            ,"DLM3000       "
"Comment"               ,"                                                                                                                                "
"BlockNumber"           ,1               
"TraceName"             ,"CH1           "
"BlockSize"             ,125000          
"VUnit"                 ,"V             "
"SampleRate"            ,2500000000.0    
"HResolution"           ,4.000000E-10    
"HOffset"               ,-1.464812E-06   
"HUnit"                 ,"s             "
"DisplayBlockSize"      ,125000          
"DisplayPointNo."       ,1                
"Date"                  ,"2026/01/08"
"Time"                  ,"18:12:24.459902840800 "

  -1.4648122E-06,       1.00E-03,
  -1.4644122E-06,       -8.00E-03,
  -1.4640122E-06,       -1.10E-02,
  -1.4636122E-06,       -9.00E-03,
  -1.4632122E-06,       8.00E-03,
  -1.4628122E-06,       -7.00E-03,
  -1.4624122E-06,       4.00E-03,
  -1.4620122E-06,       2.20E-02,
  -1.4616122E-06,       1.10E-02,
  -1.4612122E-06,       1.00E-03,
  -1.4608122E-06,       -7.00E-03,
  -1.4604122E-06,       -1.20E-02,
  -1.4600122E-06,       -1.70E-02,
  -1.4596122E-06,       -1.70E-02,
  -1.4592122E-06,       -8.00E-03,
  -1.4588122E-06,       1.90E-02,
  -1.4584122E-06,       -6.94E-19,
  -1.4580122E-06,       6.00E-03,
  -1.4576122E-06,       4.00E-03,
  -1.4572122E-06,       -3.00E-03,
  -1.4568122E-06,       1.00E-02,
  -1.4564122E-06,       -1.00E-02,
  -1.4560122E-06,       -2.00E-03,
  -1.4556122E-06,       -1.80E-02,
  -1.4552122E-06,       -3.00E-03,
  -1.4548122E-06,       -5.00E-03,
  -1.4544122E-06,       1.20E-02,
  -1.4540122E-06,       -1.10E-02,
  -1.4536122E-06,       -1.30E-02,
  -1.4532122E-06,       -3.00E-03,
  -1.4528122E-06,       1.00E-03,
  -1.4524122E-06,       3.00E-03,
  -1.4520122E-06,       -1.30E-02,
  -1.4516122E-06,       1.70E-02,
  -1.4512122E-06,       9.00E-03,
  -1.4508122E-06,       -1.30E-02,
  -1.4504122E-06,       -6.00E-03,
  -1.4500122E-06,       -1.50E-02,
  -1.4496122E-06,       -1.10E-02,
  -1.4492122E-06,       1.00E-03,
  -1.4488122E-06,       0.00E+00,
  -1.4484122E-06,       -1.00E-02,
  -1.4480122E-06,       1.00E-03,
  -1.4476122E-06,       1.10E-02,
  -1.4472122E-06,       3.00E-03,
  -1.4468122E-06,       -8.00E-03,
  -1.4464122E-06,       -6.00E-03,
  -1.4460122E-06,       2.20E-02,
  -1.4456122E-06,       2.60E-02,
  -1.4452122E-06,       1.40E-02,
  -1.4448122E-06,       3.00E-03,
  -1.4444122E-06,       9.00E-03,
  -1.4440122E-06,       -8.00E-03,
  -1.4436122E-06,       9.00E-03,
  -1.4432122E-06,       -1.00E-02,
  -1.4428122E-06,       -1.50E-02,
  -1.4424122E-06,       1.90E-02,
  -1.4420122E-06,       -1.90E-02,
  -1.4416122E-06,       2.00E-02,
  -1.4412122E-06,       -1.20E-02,
  -1.4408122E-06,       -2.00E-02,
  -1.4404122E-06,       2.30E-02,
  -1.4400122E-06,       -4.00E-03,
  -1.4396122E-06,       5.00E-03,
  -1.4392122E-06,       -3.00E-03,
  -1.4388122E-06,       -5.00E-03,
  -1.4384122E-06,       -1.90E-02,
  -1.4380122E-06,       -1.10E-02,
  -1.4376122E-06,       -1.00E-02,
  -1.4372122E-06,       -3.00E-03,
  -1.4368122E-06,       1.40E-02,
  -1.4364122E-06,       2.10E-02,
  -1.4360122E-06,       -5.00E-03,
  -1.4356122E-06,       1.00E-02,
  -1.4352122E-06,       -1.60E-02,
  -1.4348122E-06,       1.73E-19,
  -1.4344122E-06,       1.20E-02,
  -1.4340122E-06,       -9.00E-03,
  -1.4336122E-06,       -1.00E-02,
  -1.4332122E-06,       -1.00E-02,
  -1.4328122E-06,       -9.00E-03,
  -1.4324122E-06,       4.00E-03,
  -1.4320122E-06,       2.00E-03,
  -1.4316122E-06,       -1.10E-02,
  -1.4312122E-06,       -7.00E-03,
  -1.4308122E-06,       -1.30E-02,
  -1.4304122E-06,       -6.00E-03,
  -1.4300122E-06,       -6.94E-19,
  -1.4296122E-06,       -1.30E-02,
  -1.4292122E-06,       -1.00E-02,
  -1.4288122E-06,       5.00E-03,
  -1.4284122E-06,       -5.00E-03,
  -1.4280122E-06,       -5.00E-03,
  -1.4276122E-06,       -1.50E-02,
  -1.4272122E-06,       -9.00E-03,
  -1.4268122E-06,       -8.00E-03,
  -1.4264122E-06,       -1.00E-02,
  -1.4260122E-06,       6.00E-03,
  -1.4256122E-06,       5.00E-03,
  -1.4252122E-06,       1.00E-02,
  -1.4248122E-06,       -1.10E-02,
  -1.4244122E-06,       -3.00E-03,
  -1.4240122E-06,       -1.60E-02,
  -1.4236122E-06,       -8.00E-03,
  -1.4232122E-06,       -3.00E-03,
  -1.4228122E-06,       -9.00E-03,
  -1.4224122E-06,       -8.00E-03,
  -1.4220122E-06,       -6.00E-03,
  -1.4216122E-06,       -1.10E-02,
  -1.4212122E-06,       1.04E-18,
  -1.4208122E-06,       -6.00E-03,
  -1.4204122E-06,       -5.00E-03,
  -1.4200122E-06,       -1.00E-02,
  -1.4196122E-06,       1.00E-03,
  -1.4192122E-06,       -2.10E-02,
  -1.4188122E-06,       8.00E-03,
  -1.4184122E-06,       -4.00E-03,
  -1.4180122E-06,       1.20E-02,
  -1.4176122E-06,       -5.00E-03,
  -1.4172122E-06,       1.20E-02,
  -1.4168122E-06,       -1.20E-02,
  -1.4164122E-06,       -2.00E-03,
  -1.4160122E-06,       1.00E-02,
  -1.4156122E-06,       1.90E-02,
  -1.4152122E-06,       -7.00E-03,
  -1.4148122E-06,       7.00E-03,
  -1.4144122E-06,       2.00E-03,
  -1.4140122E-06,       -7.00E-03,
  -1.4136122E-06,       1.30E-02,
  -1.4132122E-06,       -1.90E-02,
  -1.4128122E-06,       2.20E-02,
  -1.4124122E-06,       2.90E-02,
  -1.4120122E-06,       -5.00E-03,
  -1.4116122E-06,       -2.20E-02,
  -1.4112122E-06,       -1.10E-02,
  -1.4108122E-06,       -3.00E-03,
  -1.4104122E-06,       -6.00E-03,
  -1.4100122E-06,       -7.00E-03,
  -1.4096122E-06,       3.00E-03,
  -1.4092122E-06,       3.00E-03,
  -1.4088122E-06,       -1.90E-02,
  -1.4084122E-06,       -3.00E-03,
  -1.4080122E-06,       1.00E-02,
  -1.4076122E-06,       8.00E-03,
  -1.4072122E-06,       1.39E-18,
  -1.4068122E-06,       3.00E-03,
  -1.4064122E-06,       -9.00E-03,
  -1.4060122E-06,       -1.20E-02,
  -1.4056122E-06,       -1.90E-02,
  -1.4052122E-06,       -1.60E-02,
  -1.4048122E-06,       -5.00E-03,
  -1.4044122E-06,       -1.70E-02,
  -1.4040122E-06,       -6.00E-03,
  -1.4036122E-06,       -1.30E-02,
  -1.4032122E-06,       -9.00E-03,
  -1.4028122E-06,       2.00E-03,
  -1.4024122E-06,       -1.80E-02,
  -1.4020122E-06,       1.70E-02,
  -1.4016122E-06,       -5.00E-03,
  -1.4012122E-06,       -2.90E-02,
  -1.4008122E-06,       1.10E-02,
  -1.4004122E-06,       -1.00E-02,
  -1.4000122E-06,       3.00E-03,
  -1.3996122E-06,       4.00E-03,
  -1.3992122E-06,       3.00E-03,
  -1.3988122E-06,       -3.00E-03,
  -1.3984122E-06,       -1.80E-02,
  -1.3980122E-06,       -1.20E-02,
  -1.3976122E-06,       -4.00E-03,
  -1.3972122E-06,       -2.50E-02,
  -1.3968122E-06,       0.00E+00,
  -1.3964122E-06,       -1.20E-02,
  -1.3960122E-06,       2.00E-03,
  -1.3956122E-06,       -1.20E-02,
  -1.3952122E-06,       1.00E-02,
  -1.3948122E-06,       -1.10E-02,
  -1.3944122E-06,       -1.00E-02,
  -1.3940122E-06,       -8.00E-03,
  -1.3936122E-06,       5.00E-03,
  -1.3932122E-06,       1.00E-03,
  -1.3928122E-06,       -2.00E-03,
  -1.3924122E-06,       -6.00E-03,
  -1.3920122E-06,       -8.00E-03,
  -1.3916122E-06,       -2.00E-03,
  -1.3912122E-06,       -2.00E-03,
  -1.3908122E-06,       1.00E-02,
  -1.3904122E-06,       -8.00E-03,
  -1.3900122E-06,       -5.00E-03,
  -1.3896122E-06,       -9.00E-03,
  -1.3892122E-06,       -1.50E-02,
  -1.3888122E-06,       -1.00E-03,
  -1.3884122E-06,       6.00E-03,
  -1.3880122E-06,       -1.90E-02,
  -1.3876122E-06,       3.47E-19,
  -1.3872122E-06,       7.00E-03,
  -1.3868122E-06,       -1.00E-02,
  -1.3864122E-06,       2.00E-03,
  -1.3860122E-06,       1.60E-02,
  -1.3856122E-06,       -2.50E-02,
  -1.3852122E-06,       2.00E-03,
  -1.3848122E-06,       -6.00E-03,
  -1.3844122E-06,       -1.10E-02,
  -1.3840122E-06,       -1.30E-02,
  -1.3836122E-06,       -1.30E-02,
  -1.3832122E-06,       -1.70E-02,
  -1.3828122E-06,       4.00E-03,
  -1.3824122E-06,       1.50E-02,
  -1.3820122E-06,       -7.00E-03,
  -1.3816122E-06,       1.80E-02,
  -1.3812122E-06,       -3.10E-02,
  -1.3808122E-06,       0.00E+00,
  -1.3804122E-06,       -9.00E-03,
  -1.3800122E-06,       7.00E-03,
  -1.3796122E-06,       5.00E-03,
  -1.3792122E-06,       -6.00E-03,
  -1.3788122E-06,       -2.00E-03,
  -1.3784122E-06,       -2.40E-02,
  -1.3780122E-06,       -2.00E-03,
  -1.3776122E-06,       -7.00E-03,
  -1.3772122E-06,       -5.00E-03,
  -1.3768122E-06,       5.00E-03,
  -1.3764122E-06,       3.00E-03,
  -1.3760122E-06,       -2.10E-02,
  -1.3756122E-06,       -6.00E-03,
  -1.3752122E-06,       -1.10E-02,
  -1.3748122E-06,       9.00E-03,
  -1.3744122E-06,       -1.10E-02,
  -1.3740122E-06,       -8.00E-03,
  -1.3736122E-06,       -1.90E-02,
  -1.3732122E-06,       -6.00E-03,
  -1.3728122E-06,       7.00E-03,
  -1.3724122E-06,       6.00E-03,
  -1.3720122E-06,       2.00E-03,
  -1.3716122E-06,       4.00E-03,
  -1.3712122E-06,       -6.00E-03,
  -1.3708122E-06,       7.00E-03,
  -1.3704122E-06,       -5.00E-03,
