dataset,domain,feature,sample_count,mean,std,q10,median,q90,min,max
metal,simulation,spectral_centroid_fraction,200,0.003938549393725758,3.0282306070124095e-05,0.0038979001619953682,0.003938554878597281,0.003980030016817326,0.0038841381750933305,0.003990592607696494
metal,simulation,spectral_bandwidth_hz,200,348690.3351091944,65769.41754401574,279133.3888741475,327879.23818986537,455538.6400308224,271287.4441072047,488354.03313456837
metal,simulation,spectral_bandwidth_fraction,200,0.0005589358665085607,0.00010168860796372334,0.00045174395167338593,0.0005289546977165405,0.0007209473496470369,0.00043112823854957226,0.0007729566842902182
metal_10times_dlm,experiment,mean,375,-0.02137547221333334,0.007859460580370854,-0.03058388800000001,-0.02149112000000001,-0.012593520000000023,-0.039485120000000026,0.05082424000000001
metal_10times_dlm,experiment,std,375,1.2292479872245101,0.047203914473980646,1.172874031146369,1.2276801675838904,1.2891721812466312,1.147755067142215,1.3797856074149282
metal_10times_dlm,experiment,rms,375,1.229460216067003,0.0471707820436728,1.1730659136675896,1.2278306632431037,1.289427542096864,1.1478574754733273,1.3800601798472412
metal_10times_dlm,experiment,peak_abs,375,4.5948,0.034469696836496824,4.56,4.59,4.656000000000001,4.49,4.68
metal_10times_dlm,experiment,peak_to_peak,375,8.41288,0.09440183049072715,8.3,8.399999999999999,8.530000000000001,8.26,9.18
metal_10times_dlm,experiment,energy_mean_square,375,1.5137975055701334,0.11700061713220546,1.37608364752,1.5075681376,1.6626233968000002,1.317576784,1.9045660999999998
metal_10times_dlm,experiment,crest_factor,375,3.742830856611791,0.14827390389339093,3.554271334030475,3.7464449599669467,3.924197997756869,3.3404340385433633,4.077161232992073
metal_10times_dlm,experiment,skewness,375,2.202949346507047,0.28573412417646626,1.875263366186509,2.1574171560621034,2.577128695198233,0.6391438017056809,2.7395700471815982
metal_10times_dlm,experiment,kurtosis,375,9.242768985817799,0.8237551454360096,8.269142000268504,9.160294157390435,10.363143911885073,7.072299605532013,11.018525894451825
metal_10times_dlm,experiment,zero_crossing_rate,375,0.017429451435611483,0.006812101346228058,0.012001696013568108,0.017000136001088007,0.023240185921487373,0.006840054720437763,0.11952095616764934
