sample_id,domain,dataset,material,physical_group,temperature_value,temperature_unit,temperature_semantics,channel,amplitude_unit,sample_count,dt_s,sampling_rate_hz,time_start_s,time_end_s,duration_s,mean,std,rms,peak_abs,peak_to_peak,energy_mean_square,crest_factor,skewness,kurtosis,zero_crossing_rate,peak_time_s,peak_time_fraction,dominant_frequency_hz,dominant_frequency_fraction,spectral_centroid_hz,spectral_centroid_fraction,spectral_bandwidth_hz,spectral_bandwidth_fraction,acquisition_batch,acquisition_date
metal/case_010_T0360p302K,simulation,metal,metal,metal/case_010_T0360p302K,360.302,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25306,7.903264048050001e-10,1265300000.0002952,7.903264048051846e-10,2e-05,1.9999209673595197e-05,6.309209433509617,10913.13169690141,10913.133520673058,45959.351733701245,90239.42594837608,119096483.24003795,4.21137995302991,0.004439735335147265,6.504153050865697,0.003912270302311796,5.205880028451751e-06,0.26026476980833824,2450000.000000572,0.0038725993835454046,2462017.984484532,0.0038915956444858257,448637.5319561484,0.0007091401753829823,,
metal/case_011_T0366p332K,simulation,metal,metal,metal/case_011_T0366p332K,366.332,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25301,7.904825896209553e-10,1265050000.000013,7.904825896209636e-10,2e-05,1.9999209517410382e-05,5.546089195305897,10914.92262688498,10914.924035923983,45968.69890664265,90256.54036618434,119135566.70999108,4.211545472542654,0.004638510039765697,6.5048620097509735,0.00391304347826087,5.2069088178332875e-06,0.2603162055335968,2449903.1697099297,0.0038732116038257846,2462044.482099042,0.0038924065959432693,455246.6464097134,0.0007197290959404113,,
metal/case_012_T0372p362K,simulation,metal,metal,metal/case_012_T0372p362K,372.362,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25297,7.906075819264321e-10,1264850000.0004456,7.906075819267107e-10,2e-05,1.9999209392418074e-05,4.756092068871311,10916.704155673267,10916.705191719055,45977.41757436659,90273.45380680807,119174452.24290577,4.211656975883447,0.004843853350801662,6.505598722840861,0.003913662239089184,5.207732142151244e-06,0.2603573687539532,2449903.1544004204,0.00387382401770891,2462086.0977007537,0.0038930878723957567,462993.2603151818,0.0007320919639720421,,
metal/case_013_T0378p392K,simulation,metal,metal,metal/case_013_T0378p392K,378.392,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25293,7.907326137666687e-10,1264649999.9999778,7.907326137666549e-10,2e-05,1.9999209267386236e-05,3.941309212415234,10918.47673792221,10918.477449281414,45986.15674923843,90290.42239963688,119213149.81046677,4.2117737535158755,0.005055231051608808,6.506361858839895,0.003914281195634983,5.208555726880956e-06,0.26039854499446463,2449903.1390843247,0.003874436625286629,2462117.562093386,0.0038937533105498426,469834.5029465461,0.000743026929105372,,
metal/case_014_T0384p422K,simulation,metal,metal,metal/case_014_T0384p422K,384.422,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25289,7.908576851601147e-10,1264449999.999106,7.908576851595556e-10,2e-05,1.999920914231484e-05,3.1040277507547716,10920.24103813837,10920.241479291091,45994.9120600952,90307.42949114958,119251673.96602969,4.2118951441979515,0.0052720737592126254,6.507149757715428,0.003914900347991142,5.2093795721459925e-06,0.26043973426130973,2449903.1237626015,0.0038750494266508503,2462137.425068095,0.003894400609070878,475696.316735598,0.0007524161757854156,,
metal/case_015_T0390p452K,simulation,metal,metal,metal/case_015_T0390p452K,390.452,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25285,7.909827961243194e-10,1264249999.999784,7.909827961241844e-10,2e-05,1.9999209017203877e-05,2.246732775420486,10921.997848853767,10921.998079938236,46003.67681017432,90324.45383456422,119290042.05817449,4.212020225005796,0.005493776406976567,6.507960461969625,0.003915519696250593,5.210203678070003e-06,0.2604809365606708,2449903.1084390343,0.003875662421893538,2462144.333284245,0.0038950276184056406,480510.19855605124,0.0007601506008402347,,
metal/case_016_T0396p482K,simulation,metal,metal,metal/case_016_T0396p482K,396.482,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25280,7.911392405063215e-10,1264000000.0000122,7.911392405063292e-10,2e-05,1.9999208860759494e-05,1.3721080325118928,10923.748010210833,10923.748096384572,46012.887204159546,90341.74960052872,119328272.47326556,4.212188600301797,0.005719697509941789,6.508791754490765,0.003916294157205586,5.21123417721519e-06,0.2605324577712726,2450000.0000000237,0.003876582278481013,2462147.0842331965,0.00389580234847021,484969.7529936305,0.0007673572041038383,,
metal/case_017_T0402p513K,simulation,metal,metal,metal/case_017_T0402p513K,402.513,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25276,7.912644405762748e-10,1263799999.999626,7.912644405760406e-10,2e-05,1.9999208735559425e-05,0.4830273166004512,10925.492709907609,10925.492720585176,46021.75491936522,90359.01055406565,119366391.1875597,4.212327635590633,0.005949159597802659,6.509641074054427,0.003916913946587537,5.212058870074379e-06,0.2605736894164194,2449999.999999275,0.003877195758822599,2462121.5509917033,0.00389637846335248,487271.90842624323,0.0007711218680588502,,
metal/case_018_T0408p543K,simulation,metal,metal,metal/case_018_T0408p543K,408.543,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25272,7.913896802785555e-10,1263600000.000022,7.913896802785692e-10,2e-05,1.9999208610319722e-05,-0.41743995801851697,10927.233006874705,10927.233014848183,46030.617424945136,90376.23489155056,119404421.36078814,4.212467818925216,0.006181446575667953,6.510505694913979,0.003957104981995172,5.212883823994935e-06,0.26061493411420206,2450000.0000000424,0.0038778094333649887,2462079.765296415,0.0038969290365564613,488354.03313456837,0.0007729566842902182,,
metal/case_019_T0414p573K,simulation,metal,metal,metal/case_019_T0414p573K,414.573,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25268,7.915149596328307e-10,1263399999.9998505,7.915149596327371e-10,2e-05,1.9999208485040368e-05,-1.3260419596966626,10928.970128618523,10928.970209064679,46039.45863420385,90393.38281897752,119442389.83062325,4.212607203926489,0.006415804091842183,6.511382654284829,0.003957731428345272,5.213709039100839e-06,0.2606561918708196,2449999.9999997104,0.003878423302200412,2462021.0899310983,0.003897453047223982,488177.18279395235,0.0007727990862656484,,
metal/case_020_T0420p603K,simulation,metal,metal,metal/case_020_T0420p603K,420.603,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25264,7.916402786573382e-10,1263200000.0000637,7.916402786573782e-10,2e-05,1.9999208359721345e-05,-2.2393502982561992,10930.705377020087,10930.705606405545,46048.260051616926,90410.40978894263,119480325.0539056,4.212743596774943,0.006651438085395241,6.512268814605141,0.00395835807307129,5.21453451551615e-06,0.2606974626924752,2450000.0000001234,0.0038790373654211526,2461945.119837466,0.003897949841414411,486710.6094210116,0.000770599444935065,,
metal/case_021_T0426p633K,simulation,metal,metal,metal/case_021_T0426p633K,426.633,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25259,7.917969832531556e-10,1262950000.0005393,7.917969832534939e-10,2e-05,1.9999208203016747e-05,-3.1537650384689746,10932.440032030545,10932.44048692596,46057.724909736535,90428.42933937928,119518255.00017793,4.2129408309898135,0.00688751265366731,6.513160930241254,0.003959141658088527,5.215566728690764e-06,0.26074906960171035,2449903.008710468,0.003879651623119557,2461857.362200898,0.003898582465180485,484394.07216084906,0.0007670835300853434,,
metal/case_022_T0432p663K,simulation,metal,metal,metal/case_022_T0432p663K,432.663,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25255,7.91922391605546e-10,1262750000.0001223,7.919223916056227e-10,2e-05,1.9999208077608396e-05,-4.0655330564101035,10934.175642405851,10934.176398226822,46066.59305679228,90445.53501874054,119556213.50754046,4.213083032414112,0.007123150339132831,6.5140555912672795,0.003959768749505029,5.216392793506237e-06,0.2607903698424012,2449902.9933483526,0.003880266075388027,2461749.7025616397,0.0038990294239737103,480536.0267754546,0.0007610944791532893,,
metal/case_023_T0438p693K,simulation,metal,metal,metal/case_023_T0438p693K,438.693,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25251,7.920478396892872e-10,1262550000.0003667,7.920478396895173e-10,2e-05,1.9999207952160313e-05,-4.970749237750078,10935.913531042834,10935.914660731116,46075.37117547935,90462.39556863945,119594229.46679375,4.213216050498971,0.007357428943980379,6.51494943444646,0.0039603960396039604,5.217219120034851e-06,0.26083168316831684,2449902.977982654,0.0038808807223190247,2461625.0024257903,0.0038994495305929673,475351.71015996445,0.0007530025902496161,,
metal/case_024_T0444p724K,simulation,metal,metal,metal/case_024_T0444p724K,444.724,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25247,7.92173327524073e-10,1262349999.9999828,7.921733275240623e-10,2e-05,1.9999207826672477e-05,-5.865379060204525,10937.655086567713,10937.656659238855,46084.96599733721,90480.67808941065,119632333.19539209,4.213422256074386,0.0075893825236078415,6.515839097086569,0.003961023528479759,5.2188378817285224e-06,0.26091261982096176,2449902.9626108664,0.0038814955640050696,2461483.9199936884,0.0038998438150967987,468851.8402229224,0.0007428238447703549,,
metal/case_025_T0450p754K,simulation,metal,metal,metal/case_025_T0450p754K,450.754,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25242,7.923302432449701e-10,1262100000.0006604,7.923302432453847e-10,2e-05,1.9999207669756757e-05,-6.745268763183137,10939.401574836082,10939.403654412648,46093.852051102804,90497.92480401495,119670552.31417681,4.213561680988875,0.007818000029269107,6.516721329135235,0.003961808169248445,5.219871642500595e-06,0.2609643041083951,2450000.000001282,0.003882418191902385,2461310.3840467674,0.003900341310586292,459629.54725934746,0.0007283567819651484,,
metal/case_026_T0456p784K,simulation,metal,metal,metal/case_026_T0456p784K,456.784,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25238,7.924558205880567e-10,1261899999.9999132,7.924558205880023e-10,2e-05,1.9999207544179413e-05,-7.606169506895562,10941.154425347928,10941.157069210052,46103.583704701305,90516.72187525907,119708918.0131251,4.213775875171671,0.008042227085212217,6.517592957092343,0.003962436105717795,5.220698946033759e-06,0.2610056662836312,2449999.999999832,0.0038830335208812116,2461137.4892330216,0.0039006854572203676,450376.25552911754,0.0007138065702974063,,
metal/case_027_T0462p814K,simulation,metal,metal,metal/case_027_T0462p814K,462.814,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25234,7.925814377429624e-10,1261699999.9996269,7.925814377427281e-10,2e-05,1.9999207418562258e-05,-8.443745061635623,10942.914732873587,10942.917990544041,46113.19436079277,90535.17874169949,119747454.14777243,4.2139760528809544,0.008260965176070226,6.518451104660471,0.003963064241271351,5.221526511849093e-06,0.26104704157254394,2449999.9999992754,0.0038836490449393676,2460952.3190753306,0.0039010102545392064,439942.27082536335,0.0006973801550693404,,
metal/case_028_T0468p844K,simulation,metal,metal,metal/case_028_T0468p844K,468.844,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25230,7.927070947287454e-10,1261499999.9996061,7.927070947284978e-10,2e-05,1.9999207292905273e-05,-9.25360134493821,10944.683542065612,10944.687453970519,46122.64597548569,90553.2122442103,119786183.46509968,4.21415834572355,0.0084730758926993,6.519293159833436,0.003963692576003805,5.222354340071344e-06,0.2610884299813706,2449999.999999235,0.003884264764169639,2460756.7557998723,0.0039013186774484987,428407.33324862283,0.0006792030650000104,,
metal/case_029_T0474p874K,simulation,metal,metal,metal/case_029_T0474p874K,474.874,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25225,7.928642220018386e-10,1261250000.0002284,7.928642220019822e-10,2e-05,1.9999207135777998e-05,-10.031304591620389,10946.461660313254,10946.46625664099,46132.028685638565,90571.31735715189,119825123.50777982,4.2143306893812635,0.008677383848751942,6.520116895670944,0.003964478274659055,5.223389494549059e-06,0.26114018395179195,2449902.877983477,0.0038848806786648694,2460576.642422292,0.0039018063705400933,418011.6957567342,0.0006628530358876646,,
metal/case_030_T0480p905K,simulation,metal,metal,metal/case_030_T0480p905K,480.905,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25221,7.929899686769757e-10,1261049999.9998736,7.929899686768963e-10,2e-05,1.9999207010031326e-05,-10.77241282215284,10948.249943006556,10948.255242705163,46141.40824056005,90589.01478564146,119864292.85942107,4.214498768769949,0.008872683340048126,6.5209204325642425,0.003965107057890563,5.224217913643393e-06,0.26118160190325135,2449902.8625800414,0.00388549678851796,2460367.6253344696,0.0039020936922956524,404738.17456382274,0.0006419066247394842,,
metal/case_031_T0486p935K,simulation,metal,metal,metal/case_031_T0486p935K,486.935,K,solver case/field temperature tag,receiver_velocity_normal,solver_velocity_or_displacement,25217,7.931157552439766e-10,1260850000.000797,7.93115755244478e-10,2e-05,1.9999206884244758e-05,-11.472491737224834,10950.048798856713,10950.054808785662,46150.519523568015,90606.8656785865,119903700.31541002,4.214638221403205,0.009057743339513324,6.521702459017127,0.003965736040609137,5.225046595550621e-06,0.26122303299492383,2449902.847174203,0.003886113093821873,2460154.839075151,0.003902375126420424,390721.7429527063,0.0006197751405043571,,
