run_type,run_label,run_dir,sample_id,point_name,target_x_norm,target_y_norm,node_id,actual_x_m,actual_y_m,actual_x_norm,actual_y_norm,normalized_distance,target_temperature_k,predicted_temperature_k,absolute_error_k,relative_error_percent,tie_count,tie_node_ids
transient,??,result\predict\inference\two_steady_wumu_er_cli_2026_7_14_100_2026_7_14_131330,worker_01_case_0001_T0301p201K,P1,0.5,0.02,116764,0.049895357340574265,0.0003176228201482445,0.49895356597075513,0.015881141362383396,0.004249708302252116,301.201171875,311.445068359375,10.243896484375,3.401014816976299,1,116764
transient,??,result\predict\inference\two_steady_wumu_er_cli_2026_7_14_100_2026_7_14_131330,worker_01_case_0001_T0301p201K,P2,0.5,0.25,62988,0.049400001764297485,0.004977052565664053,0.49400001028180107,0.24885263384549247,0.006108709005264717,301.2008361816406,311.2430419921875,10.042205810546875,3.3340564182533923,1,62988
transient,??,result\predict\inference\two_steady_wumu_er_cli_2026_7_14_100_2026_7_14_131330,worker_01_case_0001_T0301p201K,P3,0.5,0.75,167709,0.050999999046325684,0.014977052807807922,0.5099999828636649,0.7488526571285573,0.010065587560507416,301.19940185546875,311.23602294921875,10.03662109375,3.3322181358667167,1,167709
transient,??,result\predict\inference\two_steady_wumu_er_cli_2026_7_14_100_2026_7_14_131330,worker_01_case_0001_T0301p201K,P4,0.5,0.98,138033,0.050200000405311584,0.01965359039604664,0.501999996572733,0.9826795417669313,0.0033436402874222255,301.1990966796875,311.4442138671875,10.2451171875,3.4014435303553547,1,138033
transient,??,result\predict\inference\two_steady_wumu_er_cli_2026_7_14_100_2026_7_14_131330,worker_01_case_0001_T0301p201K,P5,0.5,1.0,2254,0.05000000074505806,0.019999999552965164,0.5,1.0,0.0,301.1990661621094,311.28802490234375,10.088958740234375,3.349598280229847,1,2254
steady,??,result\predict\inference\two_steady_wumu_matrix_2026_7_14_1157_2026_7_14_151954,worker_01_case_0001_T0301p201K,P1,0.5,0.02,116764,0.049895357340574265,0.0003176228201482445,0.49895356597075513,0.015881141362383396,0.004249708302252116,301.201171875,303.14459228515625,1.94342041015625,0.6452233894238564,1,116764
steady,??,result\predict\inference\two_steady_wumu_matrix_2026_7_14_1157_2026_7_14_151954,worker_01_case_0001_T0301p201K,P2,0.5,0.25,62988,0.049400001764297485,0.004977052565664053,0.49400001028180107,0.24885263384549247,0.006108709005264717,301.2008361816406,303.65771484375,2.456878662109375,0.8156945024640445,1,62988
steady,??,result\predict\inference\two_steady_wumu_matrix_2026_7_14_1157_2026_7_14_151954,worker_01_case_0001_T0301p201K,P3,0.5,0.75,167709,0.050999999046325684,0.014977052807807922,0.5099999828636649,0.7488526571285573,0.010065587560507416,301.19940185546875,303.3778076171875,2.17840576171875,0.7232437210363596,1,167709
steady,??,result\predict\inference\two_steady_wumu_matrix_2026_7_14_1157_2026_7_14_151954,worker_01_case_0001_T0301p201K,P4,0.5,0.98,138033,0.050200000405311584,0.01965359039604664,0.501999996572733,0.9826795417669313,0.0033436402874222255,301.1990966796875,303.42449951171875,2.22540283203125,0.7388477776206188,1,138033
steady,??,result\predict\inference\two_steady_wumu_matrix_2026_7_14_1157_2026_7_14_151954,worker_01_case_0001_T0301p201K,P5,0.5,1.0,2254,0.05000000074505806,0.019999999552965164,0.5,1.0,0.0,301.1990661621094,303.26971435546875,2.070648193359375,0.6874683310754106,1,2254
