run_type,run_label,sample_id,node_id,x_m,y_m,x_norm,y_norm,target_temperature_k,predicted_temperature_k,error_k
transient,??,worker_01_case_0001_T0301p201K,256,0.05000000074505806,0.0,0.5,0.0,301.2012023925781,311.2991943359375,10.097991943359375
transient,??,worker_01_case_0001_T0301p201K,31296,0.04969888925552368,0.00016063015209510922,0.49698888514952533,0.00803150778427365,301.2012023925781,311.320556640625,10.119354248046875
transient,??,worker_01_case_0001_T0301p201K,116764,0.049895357340574265,0.0003176228201482445,0.49895356597075513,0.015881141362383396,301.201171875,311.445068359375,10.243896484375
transient,??,worker_01_case_0001_T0301p201K,76321,0.050249531865119934,0.000561587221454829,0.5024953111634357,0.02807936170036409,301.201171875,311.45684814453125,10.25567626953125
transient,??,worker_01_case_0001_T0301p201K,67955,0.05025000125169754,0.0007335281698033214,0.5025000050291418,0.0366764093099477,301.2011413574219,311.4915771484375,10.290435791015625
transient,??,worker_01_case_0001_T0301p201K,13982,0.0494999997317791,0.0008201306918635964,0.49499998994171635,0.04100653550974732,301.2011413574219,311.497314453125,10.296173095703125
transient,??,worker_01_case_0001_T0301p201K,75674,0.049550000578165054,0.0012531434185802937,0.4954999983981252,0.06265717232951162,301.20111083984375,311.2255859375,10.02447509765625
transient,??,worker_01_case_0001_T0301p201K,90888,0.04935000091791153,0.0014263484627008438,0.4935000018253922,0.07131742472911086,301.2010803222656,311.30169677734375,10.100616455078125
transient,??,worker_01_case_0001_T0301p201K,74944,0.04969999939203262,0.0016861561452969909,0.4969999865144493,0.08430780914927592,301.2010803222656,311.1253662109375,9.924285888671875
transient,??,worker_01_case_0001_T0301p201K,36265,0.05025000125169754,0.001945963711477816,0.5025000050291418,0.09729818774867477,301.2010498046875,311.44873046875,10.2476806640625
transient,??,worker_01_case_0001_T0301p201K,54500,0.05054999887943268,0.002119168872013688,0.5054999812617901,0.10595844596904024,301.2010498046875,311.29193115234375,10.09088134765625
