time_us,time_s,amplitude_raw_residual,amplitude_filtered_residual
-0.9996000000000009,-9.99600000000001e-07,0.0032264708750441295,-0.035585260682030315
-0.9987999999999992,-9.987999999999992e-07,-0.02523936933644777,-0.03574245873858392
-0.9980000000000011,-9.98000000000001e-07,0.0025027028077745372,-0.035893595633024696
-0.9971999999999994,-9.971999999999993e-07,-0.033664184089036875,-0.03603738581821537
-0.9964000000000013,-9.964000000000012e-07,0.024531253508109307,-0.036172583302586304
-0.9955999999999996,-9.955999999999996e-07,-0.009711382128277601,-0.03629799570531653
-0.9948000000000015,-9.948000000000015e-07,0.0014780383196960067,-0.03641249807005686
-0.9939999999999998,-9.939999999999997e-07,-0.034153309174643764,-0.03651504617092924
-0.9932000000000016,-9.932000000000016e-07,0.005399530352293236,-0.03660468905667765
-0.9923999999999964,-9.923999999999964e-07,-0.010327340204956903,-0.03668058059151468
-0.9915999999999983,-9.915999999999983e-07,0.0004803570873004315,-0.03674198979257675
-0.9907999999999966,-9.907999999999965e-07,-0.0427747209082312,-0.03678830982685319
-0.9899999999999984,-9.899999999999984e-07,0.014610324967676558,-0.03681906559298245
-0.9891999999999967,-9.891999999999966e-07,0.006936261537940247,-0.03683391987500177
-0.9883999999999986,-9.883999999999987e-07,0.009503862191526713,-0.03683267812297657
-0.9875999999999969,-9.87599999999997e-07,0.01994481768482892,-0.03681529196633197
-0.9867999999999988,-9.867999999999988e-07,-0.023107458349943544,-0.036781861560169785
-0.9859999999999971,-9.85999999999997e-07,-0.02246059840600162,-0.036732636797938235
-0.985199999999999,-9.851999999999988e-07,0.0022225846627877965,-0.036668017341077754
-0.9843999999999973,-9.843999999999973e-07,0.021677329729675288,-0.03658855137586495
-0.9835999999999991,-9.835999999999991e-07,-0.01592562249569457,-0.03649493302553301
-0.982800000000001,-9.82800000000001e-07,-0.033034999931036646,-0.036387998381707115
-0.9819999999999993,-9.819999999999992e-07,-0.006122219476592972,-0.036268720134666387
